step,loss,moving_average_200
0,0.1069,
1,0.0463,
2,0.0712,
3,0.0701,
4,0.0797,
5,0.0729,
6,0.0766,
7,0.1308,
8,0.083,
9,0.1058,
10,0.039,
11,0.0499,
12,0.0843,
13,0.0754,
14,0.0805,
15,0.0621,
16,0.1549,
17,0.1413,
18,0.0808,
19,0.0635,
20,0.0899,
21,0.0602,
22,0.1023,
23,0.1046,
24,0.0473,
25,0.1204,
26,0.0648,
27,0.1333,
28,0.0848,
29,0.0907,
30,0.0519,
31,0.0577,
32,0.0809,
33,0.1431,
34,0.0677,
35,0.0431,
36,0.076,
37,0.0837,
38,0.0873,
39,0.0502,
40,0.0693,
41,0.1129,
42,0.0789,
43,0.0605,
44,0.0572,
45,0.0588,
46,0.1232,
47,0.0774,
48,0.0494,
49,0.0876,
50,0.0827,
51,0.0469,
52,0.061,
53,0.0465,
54,0.0475,
55,0.0933,
56,0.0857,
57,0.0901,
58,0.0825,
59,0.0684,
60,0.0929,
61,0.0401,
62,0.0631,
63,0.1122,
64,0.0612,
65,0.0731,
66,0.0886,
67,0.0711,
68,0.0449,
69,0.0427,
70,0.0471,
71,0.0522,
72,0.0416,
73,0.0695,
74,0.0516,
75,0.0739,
76,0.0577,
77,0.0978,
78,0.0754,
79,0.0469,
80,0.0573,
81,0.0611,
82,0.0513,
83,0.0547,
84,0.092,
85,0.0627,
86,0.0587,
87,0.0419,
88,0.0529,
89,0.0608,
90,0.0729,
91,0.0921,
92,0.0453,
93,0.0566,
94,0.097,
95,0.0477,
96,0.0711,
97,0.0529,
98,0.0701,
99,0.0689,
100,0.0759,
101,0.0437,
102,0.0676,
103,0.0615,
104,0.0674,
105,0.069,
106,0.0567,
107,0.0894,
108,0.0743,
109,0.0663,
110,0.0167,
111,0.0481,
112,0.0695,
113,0.0642,
114,0.0409,
115,0.0517,
116,0.1193,
117,0.0614,
118,0.0643,
119,0.0673,
120,0.0542,
121,0.0717,
122,0.0463,
123,0.0738,
124,0.0363,
125,0.0429,
126,0.042,
127,0.0615,
128,0.0412,
129,0.0667,
130,0.0418,
131,0.0442,
132,0.0589,
133,0.0792,
134,0.0426,
135,0.0856,
136,0.0439,
137,0.0763,
138,0.0544,
139,0.0831,
140,0.042,
141,0.0703,
142,0.0377,
143,0.0331,
144,0.0899,
145,0.0648,
146,0.0615,
147,0.0908,
148,0.0772,
149,0.0425,
150,0.1012,
151,0.0158,
152,0.0431,
153,0.0336,
154,0.033,
155,0.0482,
156,0.0565,
157,0.0322,
158,0.0658,
159,0.0762,
160,0.0653,
161,0.0512,
162,0.068,
163,0.0408,
164,0.052,
165,0.086,
166,0.0444,
167,0.0885,
168,0.108,
169,0.0605,
170,0.0352,
171,0.0524,
172,0.0777,
173,0.064,
174,0.0268,
175,0.0508,
176,0.0354,
177,0.041,
178,0.0936,
179,0.0562,
180,0.0553,
181,0.0592,
182,0.0461,
183,0.0384,
184,0.0426,
185,0.0517,
186,0.0516,
187,0.0936,
188,0.06,
189,0.0783,
190,0.0706,
191,0.0585,
192,0.0677,
193,0.0628,
194,0.0583,
195,0.0432,
196,0.0605,
197,0.0517,
198,0.0464,
199,0.0652,0.066315
200,0.0599,0.06608
201,0.0809,0.066253
202,0.0673,0.0662335
203,0.0157,0.0659615
204,0.0245,0.0656855
205,0.082,0.065731
206,0.0816,0.065756
207,0.0523,0.0653635
208,0.0566,0.0652315
209,0.0854,0.0651295
210,0.0349,0.065109
211,0.0491,0.065105
212,0.0558,0.0649625
213,0.029,0.0647305
214,0.0656,0.064656
215,0.0235,0.064463
216,0.06,0.0639885
217,0.0392,0.063478
218,0.0439,0.0632935
219,0.0754,0.063353
220,0.0281,0.063044
221,0.0649,0.0630675
222,0.063,0.062871
223,0.0238,0.062467
224,0.06,0.0625305
225,0.051,0.0621835
226,0.0456,0.0620875
227,0.0485,0.0616635
228,0.0399,0.061439
229,0.0476,0.0612235
230,0.0505,0.0612165
231,0.049,0.061173
232,0.0567,0.061052
233,0.0493,0.060583
234,0.0417,0.060453
235,0.1203,0.060839
236,0.0641,0.0607795
237,0.0344,0.060533
238,0.0812,0.0605025
239,0.0482,0.0604925
240,0.0391,0.0603415
241,0.0659,0.0601065
